#Copyright 2025 Beta ORI Inc. Canada. Awase Khirni Syed 
#Captable schema

ID	schema_name	object_name	object_type	description	feature_reference	column_names	constraints/notes	junction_tables
T30	cap_table	exercise_history	Table	Tracks option and warrant exercise history	F49, F51	exercise_id (PK), option_grant_id (FK) OR warrant_id (FK), exercise_date, shares_exercised, exercise_price, created_at	exercise_id UNIQUE	option_grants, warrants
T31	cap_table	conversion_history	Table	Tracks conversion history	F55	conversion_id (PK), convertible_instrument_id (FK), conversion_date, shares_converted, conversion_price, created_at	conversion_id UNIQUE	convertible_instruments
T32	cap_table	transfer_history	Table	Tracks transfer history	F47	transfer_id (PK), security_id (FK), from_stakeholder_id (FK), to_stakeholder_id (FK), transfer_date, shares_transferred, transfer_price, created_at	transfer_id UNIQUE	securities, stakeholders
T33	cap_table	repurchase_history	Table	Tracks share repurchase history	F56	repurchase_id (PK), security_id (FK), stakeholder_id (FK), repurchase_date, shares_repurchased, repurchase_price, created_at	repurchase_id UNIQUE	securities, stakeholders
T34	cap_table	cancellation_history	Table	Tracks share cancellation history	F57	cancellation_id (PK), security_id (FK), cancellation_date, shares_cancelled, created_at	cancellation_id UNIQUE	securities
T35	cap_table	stock_splits	Table	Tracks stock split history	F58, F19	stock_split_id (PK), company_id (FK), split_date, split_ratio, created_at	stock_split_id UNIQUE	companies
T36	cap_table	reverse_stock_splits	Table	Tracks reverse stock split history	F20	reverse_split_id (PK), company_id (FK), split_date, split_ratio, created_at	reverse_split_id UNIQUE	companies
T37	cap_table	liquidation_preferences	Table	Tracks liquidation preferences	F61, F64	liquidation_preference_id (PK), security_id (FK), preference_amount, preference_multiple, participation_rights, created_at, updated_at	liquidation_preference_id UNIQUE	securities
T38	cap_table	participation_rights	Table	Tracks participation rights	F62	participation_right_id (PK), security_id (FK), participation_cap, participation_multiple, created_at, updated_at	participation_right_id UNIQUE	securities
T39	cap_table	anti_dilution_protections	Table	Tracks anti-dilution protections	F87	anti_dilution_id (PK), security_id (FK), protection_type, calculation_method, created_at, updated_at	anti_dilution_id UNIQUE	securities
T40	cap_table	dividend_rights	Table	Tracks dividend rights	F26	dividend_right_id (PK), security_id (FK), dividend_rate, dividend_type, cumulative_flag, created_at, updated_at	dividend_right_id UNIQUE	securities
T41	cap_table	voting_rights	Table	Tracks voting rights	F91	voting_right_id (PK), security_id (FK), votes_per_share, special_voting_rights, created_at, updated_at	voting_right_id UNIQUE	securities
T42	cap_table	protective_provisions	Table	Tracks protective provisions	F92	protective_provision_id (PK), security_id (FK), provision_type, description, created_at, updated_at	protective_provision_id UNIQUE	securities
T43	cap_table	redemption_rights	Table	Tracks redemption rights	redemption_right_id (PK), security_id (FK), redemption_price, redemption_conditions, created_at, updated_at	redemption_right_id UNIQUE	securities	
T44	cap_table	conversion_rights	Table	Tracks conversion rights	F23	conversion_right_id (PK), security_id (FK), conversion_ratio, conversion_conditions, created_at, updated_at	conversion_right_id UNIQUE	securities
T45	cap_table	registration_rights	Table	Tracks registration rights	registration_right_id (PK), security_id (FK), demand_rights, piggyback_rights, s3_rights, created_at, updated_at	registration_right_id UNIQUE	securities	
T46	cap_table	co_sale_rights	Table	Tracks co-sale rights	co_sale_right_id (PK), security_id (FK), co_sale_percentage, co_sale_conditions, created_at, updated_at	co_sale_right_id UNIQUE	securities	
T47	cap_table	drag_along_rights	Table	Tracks drag-along rights	drag_along_right_id (PK), security_id (FK), trigger_percentage, created_at, updated_at	drag_along_right_id UNIQUE	securities	
T48	cap_table	tag_along_rights	Table	Tracks tag-along rights	tag_along_right_id (PK), security_id (FK), participation_percentage, created_at, updated_at	tag_along_right_id UNIQUE	securities	
T49	cap_table	preemptive_rights	Table	Tracks preemptive rights	preemptive_right_id (PK), security_id (FK), participation_percentage, created_at, updated_at	preemptive_right_id UNIQUE	securities	
T50	cap_table	profits_interest_units	Table	Tracks profits interest units for LLCs	F35	profits_interest_id (PK), stakeholder_id (FK), company_id (FK), units_granted, grant_date, vesting_schedule_id (FK), created_at, updated_at	profits_interest_id UNIQUE	stakeholders, companies
T51	cap_table	company_stakeholders	Table	Links companies to stakeholders	F36-F45	company_stakeholder_id (PK), company_id (FK), stakeholder_id (FK), relationship_type, start_date, end_date, created_at, updated_at	company_stakeholder_id UNIQUE	companies, stakeholders
T52	cap_table	investor_companies	Table	Links investors to companies they've invested in	F36	investor_company_id (PK), investor_id (FK), company_id (FK), investment_amount, investment_date, created_at, updated_at	investor_company_id UNIQUE	investors, companies
T53	cap_table	founder_companies	Table	Links founders to companies they've founded	F37	founder_company_id (PK), founder_id (FK), company_id (FK), equity_percentage, created_at, updated_at	founder_company_id UNIQUE	founders, companies
T54	cap_table	employee_companies	Table	Links employees to companies they work for	F38	employee_company_id (PK), employee_id (FK), company_id (FK), hire_date, termination_date, created_at, updated_at	employee_company_id UNIQUE	employees, companies
T55	cap_table	board_member_companies	Table	Links board members to companies they serve on	F39	board_member_company_id (PK), board_member_id (FK), company_id (FK), start_date, end_date, created_at, updated_at	board_member_company_id UNIQUE	board_members, companies
T56	cap_table	advisor_companies	Table	Links advisors to companies they advise	F40	advisor_company_id (PK), advisor_id (FK), company_id (FK), start_date, end_date, created_at, updated_at	advisor_company_id UNIQUE	advisors, companies
T57	cap_table	stakeholder_communications	Table	Tracks communications with stakeholders	F43	communication_id (PK), stakeholder_id (FK), user_id (FK), communication_type, subject, content, communication_date, created_at, updated_at	communication_id UNIQUE	stakeholders
T58	cap_table	stakeholder_documents	Table	Links documents to stakeholders	F44	stakeholder_document_id (PK), stakeholder_id (FK), document_id (FK), access_level, created_at, updated_at	stakeholder_document_id UNIQUE	stakeholders, documents
T59	cap_table	security_transactions	Table	Links transactions to securities	F46-F60	security_transaction_id (PK), security_id (FK), transaction_id (FK), shares_before, shares_change, shares_after, created_at, updated_at	security_transaction_id UNIQUE	securities, transactions
T60	cap_table	company_documents	Table	Links documents to companies	F141-F145	company_document_id (PK), company_id (FK), document_id (FK), document_type, created_at, updated_at	company_document_id UNIQUE	companies, documents
T61	cap_table	transactions	Table	Stores all equity-related transactions	F46-F60	transaction_id (PK), company_id (FK), transaction_type_id (FK), transaction_date, description, amount, currency, status, created_by (FK), created_at, updated_at	transaction_id UNIQUE	security_transactions, stock_ledger
T62	cap_table	transaction_types	Table	Defines types of transactions	F46-F60	transaction_type_id (PK), name, description, created_at, updated_at	transaction_type_id UNIQUE	transactions
T63	cap_table	transaction_approvals	Table	Tracks approval workflow for transactions	F135	approval_id (PK), transaction_id (FK), approver_id (FK), approval_status, approval_date, comments, created_at, updated_at	approval_id UNIQUE	transactions
T64	cap_table	transaction_documents	Table	Links documents to transactions	F46-F60	transaction_document_id (PK), transaction_id (FK), document_id (FK), document_type, created_at, updated_at	transaction_document_id UNIQUE	transactions, documents
T65	cap_table	waterfall_scenarios	Table	Stores waterfall calculation scenarios	F61-F80	scenario_id (PK), company_id (FK), scenario_name, exit_type, exit_date, exit_price, created_by (FK), created_at, updated_at	scenario_id UNIQUE	waterfall_distributions
T66	cap_table	waterfall_distributions	Table	Stores distribution results for waterfall scenarios	F61-F80	distribution_id (PK), scenario_id (FK), security_id (FK), stakeholder_id (FK), distribution_amount, distribution_type, created_at, updated_at	distribution_id UNIQUE	waterfall_scenarios
T67	cap_table	liquidation_preferences	Table	Stores liquidation preference details for waterfall calculations	F61, F64	liquidation_preference_id (PK), security_id (FK), preference_type, preference_multiple, participation_cap, created_at, updated_at	liquidation_preference_id UNIQUE	securities
T68	cap_table	participation_rights	Table	Stores participation rights details for waterfall calculations	F62	participation_right_id (PK), security_id (FK), participation_type, participation_multiple, created_at, updated_at	participation_right_id UNIQUE	securities
T69	cap_table	hurdle_rates	Table	Stores hurdle rate details for fund waterfall calculations	F69	hurdle_rate_id (PK), fund_id (FK), hurdle_rate, created_at, updated_at	hurdle_rate_id UNIQUE	funds
T70	cap_table	catch_up_provisions	Table	Stores catch-up provision details for fund waterfall calculations	F68	catch_up_id (PK), fund_id (FK), catch_up_percentage, created_at, updated_at	catch_up_id UNIQUE	funds
T71	cap_table	financing_scenarios	Table	Stores financing round impact scenarios	F81	financing_scenario_id (PK), company_id (FK), scenario_name, pre_money_valuation, amount_raised, option_pool_increase, created_by (FK), created_at, updated_at	financing_scenario_id UNIQUE	financing_scenario_securities
T72	cap_table	financing_scenario_securities	Table	Stores security details for financing scenarios	F81	financing_scenario_security_id (PK), financing_scenario_id (FK), security_type_id (FK), shares_issued, price_per_share, created_at, updated_at	financing_scenario_security_id UNIQUE	financing_scenarios
T73	cap_table	conversion_scenarios	Table	Stores convertible instrument conversion scenarios	F83	conversion_scenario_id (PK), company_id (FK), scenario_name, conversion_date, conversion_price, created_by (FK), created_at, updated_at	conversion_scenario_id UNIQUE	conversion_scenario_instruments
T74	cap_table	conversion_scenario_instruments	Table	Stores instrument details for conversion scenarios	F83	conversion_scenario_instrument_id (PK), conversion_scenario_id (FK), convertible_instrument_id (FK), shares_converted, created_at, updated_at	conversion_scenario_instrument_id UNIQUE	conversion_scenarios
T75	cap_table	exit_scenarios	Table	Stores exit scenario details	F78-F80	exit_scenario_id (PK), company_id (FK), scenario_name, exit_type, exit_date, exit_valuation, created_by (FK), created_at, updated_at	exit_scenario_id UNIQUE	exit_scenario_distributions
T76	cap_table	exit_scenario_distributions	Table	Stores distribution details for exit scenarios	F78-F80	exit_scenario_distribution_id (PK), exit_scenario_id (FK), security_id (FK), stakeholder_id (FK), distribution_amount, created_at, updated_at	exit_scenario_distribution_id UNIQUE	exit_scenarios
T77	cap_table	reports	Table	Stores report definitions	F96-F105	report_id (PK), name, description, report_type_id (FK), query_definition, created_by (FK), created_at, updated_at	report_id UNIQUE	report_parameters
T78	cap_table	report_types	Table	Defines types of reports	F96-F104	report_type_id (PK), name, description, created_at, updated_at	report_type_id UNIQUE	reports
T79	cap_table	report_parameters	Table	Stores parameters for reports	F105	report_parameter_id (PK), report_id (FK), parameter_name, parameter_type, default_value, created_at, updated_at	report_parameter_id UNIQUE	reports
T80	cap_table	report_schedules	Table	Stores schedules for automated report generation	F96-F105	report_schedule_id (PK), report_id (FK), schedule_frequency, next_run_date, created_at, updated_at	report_schedule_id UNIQUE	reports
T81	cap_table	report_subscriptions	Table	Stores user subscriptions to reports	F96-F105	report_subscription_id (PK), report_id (FK), user_id (FK), created_at, updated_at	report_subscription_id UNIQUE	reports
T82	cap_table	report_history	Table	Stores history of generated reports	F96-F105	report_history_id (PK), report_id (FK), generated_by (FK), generation_date, file_path, created_at, updated_at	report_history_id UNIQUE	reports
T83	cap_table	compliance_requirements	Table	Stores compliance requirements	F106-F115	compliance_requirement_id (PK), name, description, requirement_type, due_date, status, created_at, updated_at	compliance_requirement_id UNIQUE	compliance_filings
T84	cap_table	compliance_filings	Table	Tracks compliance filings	F106-F115	filing_id (PK), compliance_requirement_id (FK), company_id (FK), filing_date, status, file_path, created_at, updated_at	filing_id UNIQUE	compliance_requirements
T85	cap_table	section_83b_elections	Table	Tracks Section 83(b) elections	F112	election_id (PK), stakeholder_id (FK), security_id (FK), election_date, filing_date, status, created_at, updated_at	election_id UNIQUE	stakeholders, securities
T86	cap_table	rule_701_limits	Table	Tracks Rule 701 exemption limits	F107	rule_701_limit_id (PK), company_id (FK), reporting_period, aggregate_sales, securities_offered, exemption_limit, created_at, updated_at	rule_701_limit_id UNIQUE	companies
T87	cap_table	section_12g_thresholds	Table	Tracks Section 12(g) registration thresholds	F108	section_12g_threshold_id (PK), company_id (FK), record_date, total_assets, shareholders_of_record, threshold_met, created_at, updated_at	section_12g_threshold_id UNIQUE	companies
T88	cap_table	blue_sky_compliance	Table	Tracks state securities law compliance	F109	blue_sky_compliance_id (PK), company_id (FK), state, compliance_status, exemption_used, filing_date, created_at, updated_at	blue_sky_compliance_id UNIQUE	companies
T89	cap_table	409a_valuations	Table	Stores 409A valuation information	F104, F111	valuation_id (PK), company_id (FK), valuation_date, valuation_provider, common_share_price, file_path, created_at, updated_at	valuation_id UNIQUE	companies
T90	cap_table	integrations	Table	Stores integration configurations	F116-F125	integration_id (PK), integration_type_id (FK), name, description, configuration_json, status, created_at, updated_at	integration_id UNIQUE	integration_logs
T91	cap_table	integration_types	Table	Defines types of integrations	F116-F125	integration_type_id (PK), name, description, created_at, updated_at	integration_type_id UNIQUE	integrations
T92	cap_table	integration_logs	Table	Stores logs of integration activities	F116-F125	log_id (PK), integration_id (FK), activity_type, request_payload, response_payload, status, created_at, updated_at	log_id UNIQUE	integrations
T93	cap_table	api_keys	Table	Stores API keys for external access	F125	api_key_id (PK), user_id (FK), api_key, name, permissions, status, created_at, expires_at	api_key_id UNIQUE	users
T94	cap_table	api_usage_logs	Table	Stores logs of API usage	F125	usage_log_id (PK), api_key_id (FK), endpoint, request_method, response_code, created_at, updated_at	usage_log_id UNIQUE	api_keys
T95	cap_table	users	Table	Stores user information	F126-F135	user_id (PK), stakeholder_id (FK), username, email, password_hash, first_name, last_name, is_active, created_at, updated_at	user_id UNIQUE, email UNIQUE	user_roles, user_permissions
T96	cap_table	roles	Table	Defines user roles	F130	role_id (PK), name, description, created_at, updated_at	role_id UNIQUE	user_roles, role_permissions
T97	cap_table	permissions	Table	Defines permissions	F130	permission_id (PK), name, description, created_at, updated_at	permission_id UNIQUE	user_permissions, role_permissions
T98	cap_table	user_roles	Table	Links users to roles	F130	user_role_id (PK), user_id (FK), role_id (FK), created_at, updated_at	user_role_id UNIQUE	users, roles
T99	cap_table	user_permissions	Table	Links users to permissions	F130	user_permission_id (PK), user_id (FK), permission_id (FK), created_at, updated_at	user_permission_id UNIQUE	users, permissions
T100	cap_table	role_permissions	Table	Links roles to permissions	F130	role_permission_id (PK), role_id (FK), permission_id (FK), created_at, updated_at	role_permission_id UNIQUE	roles, permissions
T101	cap_table	user_views	Table	Stores user custom views	F130	user_view_id (PK), user_id (FK), view_name, view_definition, created_at, updated_at	user_view_id UNIQUE	users
T102	cap_table	audit_logs	Table	Stores comprehensive audit logs	F136-F140	audit_log_id (PK), user_id (FK), table_name, record_id, action_type, old_values, new_values, created_at, updated_at	audit_log_id UNIQUE	
T103	cap_table	change_tracking	Table	Tracks changes to sensitive data	F137	change_id (PK), table_name, record_id, column_name, old_value, new_value, changed_by (FK), changed_at, updated_at	change_id UNIQUE	
T104	cap_table	document_versions	Table	Stores versions of documents	F139	document_version_id (PK), document_id (FK), version_number, file_path, uploaded_by (FK), uploaded_at, updated_at	document_version_id UNIQUE	documents
T105	cap_table	documents	Table	Stores document metadata	F141-F145	document_id (PK), name, description, file_path, file_type, file_size, uploaded_by (FK), uploaded_at, updated_at	document_id UNIQUE	document_versions
T106	cap_table	document_templates	Table	Stores document templates	F145	template_id (PK), name, description, file_path, template_type, created_by (FK), created_at, updated_at	template_id UNIQUE	
T117	cap_table	system_settings	Table	Stores key-value pairs for system-wide configuration.	F130	setting_id (PK), setting_key, setting_value, description, updated_at	setting_key UNIQUE	
T118	cap_table	notification_templates	Table	Stores templates for automated notifications (e.g., vesting reminders, compliance alerts).	F131-F135	template_id (PK), name, subject, body_html, body_text, template_type		
T119	cap_table	default_vesting_schedules	Table	Pre-defined vesting schedules (e.g., 4-year with 1-year cliff) that can be easily applied.	F29, F149	default_schedule_id (PK), name, description, cliff_months, total_vesting_months		
T120	cap_table	ml_model_predictions	Table	Generic table to store predictions from various AI/ML models.	F21	prediction_id (PK), model_name, entity_type, entity_id, prediction_data (JSONB), confidence_score, created_at	entity_type could be 'company', 'stakeholder', etc.	
T121	cap_table	company_similarity_scores	Table	Stores similarity scores between a company and its peers for benchmarking.	F27	similarity_id (PK), company_id_1 (FK), company_id_2 (FK), similarity_score, last_calculated_at		
T122	cap_table	dilution_impact_forecasts	Table	Stores forecasts of future dilution under different scenarios.	F81	forecast_id (PK), company_id (FK), scenario_name, forecast_date, projected_dilution, key_assumptions (JSONB)		
T123	cap_table	exit_probability_model	Table	Stores the output of a model predicting the likelihood and timing of an exit for a portfolio company.	F78	prediction_id (PK), company_id (FK), exit_type, probability, time_to_exit_quarters, model_version, created_at		
T124	cap_table	workflows	Table	Defines multi-step processes, like 'New Financing Round' or 'M&A Exit'.	F10, F135	workflow_id (PK), name, description, is_active		
T125	cap_table	workflow_steps	Table	Defines the individual steps within a workflow.	F10, F135	step_id (PK), workflow_id (FK), step_name, step_order, required_role_id (FK)		
T126	cap_table	workflow_instances	Table	Tracks a specific instance of a workflow running for a company or transaction.	F10, F135	instance_id (PK), workflow_id (FK), company_id (FK), current_step_id (FK), status, started_by (FK), started_at		
T127	cap_table	workflow_instance_steps	Table	Tracks the status of each step within a specific workflow instance.	F10, F135	instance_step_id (PK), instance_id (FK), step_id (FK), status, completed_by (FK), completed_at, notes		
T128	cap_table	firms	Table	The top-level table for a VC firm or entity using the platform.		firm_id (PK), firm_name, legal_name, subscription_plan, created_at	All core tables (companies, stakeholders, funds, etc.) would need a firm_id (FK) column.	
T129	cap_table	funds	Table	Links to the firms table to manage multiple funds under one firm.		fund_id (PK), firm_id (FK), fund_name, fund_vintage, currency, legal_structure		
T130	cap_table	pro_rata_rights_details	Table	Stores detailed terms for pro-rata rights, beyond a simple flag.	F88	pro_rata_id (PK), security_id (FK), is_super_pro_rata, is_maintainable, conditions (JSONB)		
T131	cap_table	escrow_holdings	Table	Tracks shares held in escrow for founders or other stakeholders, with release conditions.		escrow_id (PK), stakeholder_id (FK), security_id (FK), shares_escrowed, release_date, release_conditions (JSONB)		
T132	cap_table	earnout_agreements	Table	Stores details of earnout agreements from M&A deals, with targets and payouts.		earnout_id (PK), company_id (FK), exit_scenario_id (FK), total_earnout, currency, performance_metric, target_value, payout_schedule (JSONB)		
T133	cap_table	debt_instruments	Table	Tracks various forms of debt held by the company, such as venture debt, convertible notes with interest, and term loans.	F54, F154	debt_id (PK), company_id (FK), instrument_type, principal_amount, interest_rate, accrual_method, maturity_date, is_secured, security_details (JSONB), created_at, updated_at	instrument_type could be an enum ('Venture Debt', 'Convertible Note', 'Term Loan').	
T134	cap_table	interest_accruals	Table	Logs the periodic accrual of interest on debt instruments.	F154	accrual_id (PK), debt_id (FK), accrual_date, accrued_interest, total_accrued_to_date, created_at	This table is populated by a scheduled job.	
T135	cap_table	esop_plans	Table	Stores detailed information about Employee Stock Option Plans.	F146, F147	esop_plan_id (PK), company_id (FK), plan_name, plan_document_id (FK), approval_date, total_shares_reserved, created_at, updated_at	Links to option_pools which are the share containers for a given ESOP plan.	
T137	cap_table	company_regulatory_filings	Table	Tracks the status and history of specific regulatory filings for a company.	F106-F115	filing_id (PK), company_id (FK), filing_type_id (FK), due_date, filed_date, status, file_path, notes, created_at, updated_at	Links to regulatory_filing_types.	
T138	cap_table	currencies	Table	Stores information about different currencies for international operations.	F116-F125	currency_id (PK), currency_code (PK), currency_name, symbol, decimal_places	currency_code UNIQUE (e.g., 'USD', 'EUR').	
T139	cap_table	exchange_rates	Table	Stores historical daily exchange rates for currency conversion.	F116-F125	rate_id (PK), from_currency_id (FK), to_currency_id (FK), rate_date, exchange_rate, created_at	A composite unique key on (from_currency_id, to_currency_id, rate_date).	
T140	cap_table	data_access_policies	Table	Defines row-level security policies to control which users/firms can see which data (e.g., a stakeholder can only see their own holdings).	F95-F100	policy_id (PK), role_id (FK), table_name, filter_clause (JSONB), created_at	The filter_clause would be used by application logic or RLS features in the database.	
T141	cap_table	background_job_queue	Table	A queue for managing asynchronous, long-running tasks like report generation or complex scenario modeling.	P17, P18	job_id (PK), job_type, job_parameters (JSONB), status (e.g., 'Queued', 'Running', 'Completed', 'Failed'), queue_time, start_time, end_time, result_data (JSONB), error_message	A worker process would poll this table.	
T142	cap_table	user_session_log	Table	Tracks user login sessions for security and audit purposes.	F95-F100	session_id (PK), user_id (FK), login_time, logout_time, ip_address, user_agent, is_active	is_active flag helps identify currently logged-in users.	
